IPA,OLD_IPA_key,consonantal,voice,sibilant,lateral,geminate,place_articulation,place_value,articulation_manner,consonantality_value,IPA_key
t͡ɕ,32.0,True,False,True,False,False,Ɉ,0.0,P͡F,3.0,106.0
d͡ʑ,33.0,True,True,True,False,False,Ɉ,0.0,P͡F,3.0,107.0
t̠͡ʃ,34.0,True,False,True,False,False,Ɉ,-0.5,P͡F,3.0,108.0
d̠͡ʒ,35.0,True,True,True,False,False,Ɉ,-0.5,P͡F,3.0,109.0
t̠͡ɹ̠̊˔,,True,False,False,False,False,Ɉ,-0.5,P͡F,3.0,110.0
d̠͡ɹ̠˔,,True,True,False,False,False,Ɉ,-0.5,P͡F,3.0,111.0
ʈ͡ʂ,36.0,True,False,True,False,False,Ɉ,-1.25,P͡F,3.0,112.0
ɖ͡ʐ,37.0,True,True,True,False,False,Ɉ,-1.25,P͡F,3.0,113.0
c͡ç,38.0,True,False,False,False,False,Ɉ,-2.0,P͡F,3.0,114.0
ɟ͡ʝ,39.0,True,True,False,False,False,Ɉ,-2.0,P͡F,3.0,115.0
k͡x,,True,False,False,False,False,K,-3.0,P͡F,3.0,116.0
ɡ͡ɣ,,True,True,False,False,False,K,-3.0,P͡F,3.0,117.0
q͡χ,,True,False,False,False,False,Q,-4.0,P͡F,3.0,118.0
ɢ͡ʁ,,True,True,False,False,False,Q,-4.0,P͡F,3.0,119.0
ʡ͡ʜ,,True,False,False,False,False,H,-5.0,P͡F,3.0,120.0
ʡ͡ʢ,,True,True,False,False,False,H,-5.0,P͡F,3.0,121.0
ʔ͡h,,True,False,False,False,False,H,-6.0,P͡F,3.0,122.0
t͡ɬ,,True,False,False,True,False,D,0.5,P͡F,3.0,123.0
d͡ɮ,,True,True,False,True,False,D,0.5,P͡F,3.0,124.0
ʈ͡ꞎ,,True,False,False,True,False,Ɉ,-1.25,P͡F,3.0,125.0
ɖ͡𝼅,,True,True,False,True,False,Ɉ,-1.25,P͡F,3.0,126.0
c͡𝼆,,True,False,False,True,False,Ɉ,-2.0,P͡F,3.0,127.0
ɟ͡ʎ̝,,True,True,False,True,False,Ɉ,-2.0,P͡F,3.0,128.0
k͡𝼄,,True,False,False,True,False,K,-3.0,P͡F,3.0,129.0
ɡ͡ʟ̝,,True,True,False,True,False,K,-3.0,P͡F,3.0,130.0
ɸɸ,,True,False,False,False,True,B,3.0,FF,2.5,131.0
ββ,,True,True,False,False,True,B,3.0,FF,2.5,132.0
ff,208.0,True,False,False,False,True,B,2.5,FF,2.5,133.0
vv,209.0,True,True,False,False,True,B,2.5,FF,2.5,134.0
θθ,210.0,True,False,False,False,True,D,2.0,FF,2.5,135.0
ðð,211.0,True,True,False,False,True,D,2.0,FF,2.5,136.0
s̟s̟,212.0,True,False,True,False,True,D,1.666666667,FF,2.5,137.0
z̟z̟,213.0,True,True,True,False,True,D,1.666666667,FF,2.5,138.0
s̪s̪,214.0,True,False,True,False,True,D,1.333333333,FF,2.5,139.0
z̪z̪,215.0,True,True,True,False,True,D,1.333333333,FF,2.5,140.0
ss,216.0,True,False,True,False,True,D,1.0,FF,2.5,141.0
zz,217.0,True,True,True,False,True,D,1.0,FF,2.5,142.0
θ̠θ̠,,True,False,False,False,True,D,1.0,FF,2.5,143.0
ð̠ð̠,,True,True,False,False,True,D,1.0,FF,2.5,144.0
s̠s̠,218.0,True,False,True,False,True,D,0.5,FF,2.5,145.0
z̠z̠,219.0,True,True,True,False,True,D,0.5,FF,2.5,146.0
ɕɕ,220.0,True,False,True,False,True,Ɉ,0.0,FF,2.5,147.0
ʑʑ,221.0,True,True,True,False,True,Ɉ,0.0,FF,2.5,148.0
ʃʃ,222.0,True,False,True,False,True,Ɉ,-0.5,FF,2.5,149.0
ʒʒ,223.0,True,True,True,False,True,Ɉ,-0.5,FF,2.5,150.0
ɹ̠̊˔ɹ̠̊˔,,True,False,False,False,True,Ɉ,-0.5,FF,2.5,151.0
ɹ̠˔ɹ̠˔,,True,True,False,False,True,Ɉ,-0.5,FF,2.5,152.0
ʂʂ,224.0,True,False,True,False,True,Ɉ,-1.25,FF,2.5,153.0
ʐʐ,225.0,True,True,True,False,True,Ɉ,-1.25,FF,2.5,154.0
çç,226.0,True,False,False,False,True,Ɉ,-2.0,FF,2.5,155.0
ʝʝ,227.0,True,True,False,False,True,Ɉ,-2.0,FF,2.5,156.0
xx,,True,False,False,False,True,K,-3.0,FF,2.5,157.0
ɣɣ,,True,True,False,False,True,K,-3.0,FF,2.5,158.0
χχ,,True,False,False,False,True,Q,-4.0,FF,2.5,159.0
ʁʁ,,True,True,False,False,True,Q,-4.0,FF,2.5,160.0
ħħ,,True,False,False,False,True,H,-5.0,FF,2.5,161.0
ʕʕ,,True,False,False,False,True,H,-5.0,FF,2.5,162.0
hh,,True,False,False,False,True,H,-6.0,FF,2.5,163.0
ɦɦ,,True,True,False,False,True,H,-6.0,FF,2.5,164.0
ɬɬ,,True,False,False,True,True,D,0.5,FF,2.5,165.0
ɮɮ,,True,True,False,True,True,D,0.5,FF,2.5,166.0
ꞎꞎ,,True,False,False,True,True,Ɉ,-1.25,FF,2.5,167.0
𝼅𝼅,,True,True,False,True,True,Ɉ,-1.25,FF,2.5,168.0
𝼆𝼆,,True,False,False,True,True,Ɉ,-2.0,FF,2.5,169.0
ʎ̝ʎ̝,228.0,True,True,False,True,True,Ɉ,-2.0,FF,2.5,170.0
𝼄𝼄,,True,False,False,True,True,K,-3.0,FF,2.5,171.0
ʟ̝ʟ̝,,True,True,False,True,True,K,-3.0,FF,2.5,172.0
ɸ,40.0,True,False,False,False,False,B,3.0,F,2.0,173.0
β,41.0,True,True,False,False,False,B,3.0,F,2.0,174.0
f,42.0,True,False,False,False,False,B,2.5,F,2.0,175.0
v,43.0,True,True,False,False,False,B,2.5,F,2.0,176.0
θ,44.0,True,False,False,False,False,D,2.0,F,2.0,177.0
ð,45.0,True,True,False,False,False,D,2.0,F,2.0,178.0
s̟,46.0,True,False,True,False,False,D,1.666666667,F,2.0,179.0
z̟,47.0,True,True,True,False,False,D,1.666666667,F,2.0,180.0
s̪,48.0,True,False,True,False,False,D,1.333333333,F,2.0,181.0
z̪,49.0,True,True,True,False,False,D,1.333333333,F,2.0,182.0
s,50.0,True,False,True,False,False,D,1.0,F,2.0,183.0
z,51.0,True,True,True,False,False,D,1.0,F,2.0,184.0
θ̠,,True,False,False,False,False,D,1.0,F,2.0,185.0
ð̠,,True,True,False,False,False,D,1.0,F,2.0,186.0
s̠,52.0,True,False,True,False,False,D,0.5,F,2.0,187.0
z̠,53.0,True,True,True,False,False,D,0.5,F,2.0,188.0
ɕ,54.0,True,False,True,False,False,Ɉ,0.0,F,2.0,189.0
ʑ,55.0,True,True,True,False,False,Ɉ,0.0,F,2.0,190.0
ʃ,56.0,True,False,True,False,False,Ɉ,-0.5,F,2.0,191.0
ʒ,57.0,True,True,True,False,False,Ɉ,-0.5,F,2.0,192.0
ɹ̠̊˔,,True,False,False,False,False,Ɉ,-0.5,F,2.0,193.0
ɹ̠˔,,True,True,False,False,False,Ɉ,-0.5,F,2.0,194.0
ʂ,58.0,True,False,True,False,False,Ɉ,-1.25,F,2.0,195.0
ʐ,59.0,True,True,True,False,False,Ɉ,-1.25,F,2.0,196.0
ç,60.0,True,False,False,False,False,Ɉ,-2.0,F,2.0,197.0
ʝ,61.0,True,True,False,False,False,Ɉ,-2.0,F,2.0,198.0
x,63.0,True,False,False,False,False,K,-3.0,F,2.0,199.0
ɣ,64.0,True,True,False,False,False,K,-3.0,F,2.0,200.0
χ,65.0,True,False,False,False,False,Q,-4.0,F,2.0,201.0
ʁ,66.0,True,True,False,False,False,Q,-4.0,F,2.0,202.0
ħ,67.0,True,False,False,False,False,H,-5.0,F,2.0,203.0
ʕ,,True,False,False,False,False,H,-5.0,F,2.0,204.0
h,68.0,True,False,False,False,False,H,-6.0,F,2.0,205.0
ɦ,69.0,True,True,False,False,False,H,-6.0,F,2.0,206.0
ʍ,,True,False,False,False,False,BK,0.0,F,2.0,207.0
ɬ,,True,False,False,True,False,D,0.5,F,2.0,208.0
ɮ,,True,True,False,True,False,D,0.5,F,2.0,209.0
ꞎ,,True,False,False,True,False,Ɉ,-1.25,F,2.0,210.0
𝼅,,True,True,False,True,False,Ɉ,-1.25,F,2.0,211.0
𝼆,,True,False,False,True,False,Ɉ,-2.0,F,2.0,212.0
ʎ̝,62.0,True,True,False,True,False,Ɉ,-2.0,F,2.0,213.0
𝼄,,True,False,False,True,False,K,-3.0,F,2.0,214.0
ʟ̝,,True,True,False,True,False,K,-3.0,F,2.0,215.0
ʙ̥ː,,True,False,False,False,True,B,3.0,RRR,1.875,216.0
ʙː,,True,True,False,False,True,B,3.0,RRR,1.875,217.0
r̪̥ː,,True,False,False,False,True,D,1.666666667,RRR,1.875,218.0
r̪ː,236.0,True,True,False,False,True,D,1.666666667,RRR,1.875,219.0
r̥ː,,True,False,False,False,True,D,0.75,RRR,1.875,220.0
rː,125.0,True,True,False,False,True,D,0.75,RRR,1.875,221.0
rː,237.0,True,True,False,False,True,D,0.75,RRR,1.875,221.0
r̠̥ː,,True,False,False,False,True,Ɉ,-0.5,RRR,1.875,222.0
r̠ː,126.0,True,True,False,False,True,Ɉ,-0.5,RRR,1.875,223.0
ɽ̥͡r̥ː,,True,False,False,False,True,Ɉ,-1.25,RRR,1.875,224.0
ɽ͡rː,238.0,True,True,False,False,True,Ɉ,-1.25,RRR,1.875,225.0
ʀ̥ː,,True,False,False,False,True,Q,-4.0,RRR,1.875,226.0
ʀː,239.0,True,True,False,False,True,Q,-4.0,RRR,1.875,227.0
ʜː,,True,False,False,False,True,H,-5.0,RRR,1.875,228.0
ʢː,,True,True,False,False,True,H,-5.0,RRR,1.875,229.0
mm,229.0,True,True,False,False,True,B,3.0,NN,1.5625,230.0
ɱɱ,230.0,True,True,False,False,True,B,2.5,NN,1.5625,231.0
n̪n̪,231.0,True,True,False,False,True,D,1.666666667,NN,1.5625,232.0
nn,232.0,True,True,False,False,True,D,0.75,NN,1.5625,233.0
ȵȵ,233.0,True,True,False,False,True,Ɉ,0.0,NN,1.5625,234.0
n̠n̠,234.0,True,True,False,False,True,Ɉ,-0.5,NN,1.5625,235.0
ɳɳ,,True,True,False,False,True,Ɉ,-1.25,NN,1.5625,236.0
ɲɲ,235.0,True,True,False,False,True,Ɉ,-2.0,NN,1.5625,237.0
ŋŋ,,True,True,False,False,True,K,-3.0,NN,1.5625,238.0
ɴɴ,,True,True,False,False,True,Q,-4.0,NN,1.5625,239.0
ʙ̥,,True,False,False,False,False,B,3.0,RR,1.5,240.0
ʙ,,True,True,False,False,False,B,3.0,RR,1.5,241.0
r̪̥,,True,False,False,False,False,D,1.666666667,RR,1.5,242.0
r̪,78.0,True,True,False,False,False,D,1.666666667,RR,1.5,243.0
r̥,,True,False,False,False,False,D,0.75,RR,1.5,244.0
r,79.0,True,True,False,False,False,D,0.75,RR,1.5,245.0
r̠̥,,True,False,False,False,False,Ɉ,-0.5,RR,1.5,246.0
r̠,141.0,True,True,False,False,False,Ɉ,-0.5,RR,1.5,247.0
ɽ̥͡r̥,,True,False,False,False,False,Ɉ,-1.25,RR,1.5,248.0
ɽ͡r,,True,True,False,False,False,Ɉ,-1.25,RR,1.5,249.0
ʀ̥,,True,False,False,False,False,Q,-4.0,RR,1.5,250.0
ʀ,81.0,True,True,False,False,False,Q,-4.0,RR,1.5,251.0
ʜ,,True,False,False,False,False,H,-5.0,RR,1.5,252.0
ʢ,,True,True,False,False,False,H,-5.0,RR,1.5,253.0
m,70.0,True,True,False,False,False,B,3.0,N,1.25,254.0
ɱ,71.0,True,True,False,False,False,B,2.5,N,1.25,255.0
n̪,72.0,True,True,False,False,False,D,1.666666667,N,1.25,256.0
n,73.0,True,True,False,False,False,D,0.75,N,1.25,257.0
ȵ,74.0,True,True,False,False,False,Ɉ,0.0,N,1.25,258.0
n̠,75.0,True,True,False,False,False,Ɉ,-0.5,N,1.25,259.0
ɳ,,True,True,False,False,False,Ɉ,-1.25,N,1.25,260.0
ɲ,76.0,True,True,False,False,False,Ɉ,-2.0,N,1.25,261.0
ŋ,77.0,True,True,False,False,False,K,-3.0,N,1.25,262.0
ɴ,,True,True,False,False,False,Q,-4.0,N,1.25,263.0
ⱱ̟,,True,True,False,False,False,B,3.0,R,1.0,264.0
" ⱱ
",,True,True,False,False,False,B,2.5,R,1.0,
ɾ̪̥,,True,False,False,False,False,D,1.666666667,R,1.0,266.0
ɾ̪,82.0,True,True,False,False,False,D,1.666666667,R,1.0,267.0
ɾ̥,,True,False,False,False,False,D,0.75,R,1.0,268.0
ɾ,83.0,True,True,False,False,False,D,0.75,R,1.0,269.0
ɾ̠̥,,True,False,False,False,False,Ɉ,-0.5,R,1.0,270.0
ɾ̠,,True,True,False,False,False,Ɉ,-0.5,R,1.0,271.0
ɽ̊,,True,False,False,False,False,Ɉ,-1.25,R,1.0,272.0
ɽ,80.0,True,True,False,False,False,Ɉ,-1.25,R,1.0,273.0
ɢ̆,,True,True,False,False,False,Q,-4.0,R,1.0,274.0
ʡ̆,,True,True,False,False,False,H,-5.0,R,1.0,275.0
ɺ̥,,True,False,False,True,False,D,0.75,R,1.0,276.0
ɺ,,True,True,False,True,False,D,0.75,R,1.0,277.0
𝼈̊,,True,False,False,True,False,Ɉ,-1.25,R,1.0,278.0
𝼈,,True,True,False,True,False,Ɉ,-1.25,R,1.0,279.0
ʎ̆,,True,False,False,True,False,Ɉ,-2.0,R,1.0,280.0
ʟ̆,,True,True,False,True,False,K,-3.0,R,1.0,281.0
l̪̥l̪̥,,True,False,False,True,True,D,1.666666667,LL,0.9375,282.0
l̪l̪,242.0,True,True,False,True,True,D,1.666666667,LL,0.9375,283.0
l̥l̥,,True,False,False,True,True,D,0.75,LL,0.9375,284.0
ll,243.0,True,True,False,True,True,D,0.75,LL,0.9375,285.0
ȴȴ,244.0,True,True,False,True,True,Ɉ,0.0,LL,0.9375,286.0
l̪ʲl̪ʲ,,True,True,False,True,True,Ɉ,-0.166666667,LL,0.9375,287.0
l̠l̠,,True,True,False,True,True,Ɉ,-0.5,LL,0.9375,288.0
ɫ̪̊ɫ̪̊,,True,False,False,True,True,Ɉ,-1.166666667,LL,0.9375,289.0
ɫ̪ɫ̪,245.0,True,True,False,True,True,Ɉ,-1.166666667,LL,0.9375,290.0
ɭ̊ɭ̊,,True,False,False,True,True,Ɉ,-1.25,LL,0.9375,291.0
ɭɭ,246.0,True,True,False,True,True,Ɉ,-1.25,LL,0.9375,292.0
ɫ̥ɫ̥,,True,False,False,True,True,Ɉ,-1.625,LL,0.9375,293.0
ɫɫ,247.0,True,True,False,True,True,Ɉ,-1.625,LL,0.9375,294.0
ʎ̥ʎ̥,,True,False,False,True,True,Ɉ,-2.0,LL,0.9375,295.0
ʎʎ,248.0,True,True,False,True,True,Ɉ,-2.0,LL,0.9375,296.0
ʟ̥ʟ̥,,True,False,False,True,True,K,-3.0,LL,0.9375,297.0
ʟʟ,,True,True,False,True,True,K,-3.0,LL,0.9375,298.0
ʟ̠ʟ̠,,True,True,False,True,True,Q,-4.0,LL,0.9375,299.0
l̪̥,,True,False,False,True,False,D,1.666666667,L,0.75,300.0
l̪,84.0,True,True,False,True,False,D,1.666666667,L,0.75,301.0
l̥,,True,False,False,True,False,D,0.75,L,0.75,302.0
l,85.0,True,True,False,True,False,D,0.75,L,0.75,303.0
ȴ,86.0,True,True,False,True,False,Ɉ,0.0,L,0.75,304.0
l̪ʲ,139.0,True,True,False,True,False,Ɉ,-0.166666667,L,0.75,305.0
l̠̥,,True,False,False,True,False,Ɉ,-0.5,L,0.75,306.0
l̠,,True,True,False,True,False,Ɉ,-0.5,L,0.75,307.0
ɫ̪̊,,True,False,False,True,False,Ɉ,-1.166666667,L,0.75,308.0
ɫ̪,87.0,True,True,False,True,False,Ɉ,-1.166666667,L,0.75,309.0
ɭ̊,,True,False,False,True,False,Ɉ,-1.25,L,0.75,310.0
ɭ,88.0,True,True,False,True,False,Ɉ,-1.25,L,0.75,311.0
ɫ̥,,True,False,False,True,False,Ɉ,-1.625,L,0.75,312.0
ɫ,89.0,True,True,False,True,False,Ɉ,-1.625,L,0.75,313.0
ʎ̥,,True,False,False,True,False,Ɉ,-2.0,L,0.75,314.0
ʎ,90.0,True,True,False,True,False,Ɉ,-2.0,L,0.75,315.0
ʟ̥,,True,False,False,True,False,K,-3.0,L,0.75,316.0
ʟ,140.0,True,True,False,True,False,K,-3.0,L,0.75,317.0
ʟ̠̥,,True,False,False,True,False,Q,-4.0,L,0.75,318.0
ʟ̠,,True,True,False,True,False,Q,-4.0,L,0.75,319.0
β̞β̞,,True,True,False,False,True,B,3.0,WW,0.625,320.0
ʋʋ,,True,True,False,False,True,B,2.5,WW,0.625,321.0
ð̞ð̞,,True,True,False,False,True,D,1.75,WW,0.625,322.0
ɹɹ,,True,True,False,False,True,D,0.75,WW,0.625,323.0
ɥ̊ɥ̊,,True,False,False,False,True,BɈ,0.5,WW,0.625,324.0
ɹ̠ɹ̠,,True,True,False,False,True,Ɉ,-0.5,WW,0.625,325.0
ɻɻ,,True,True,False,False,True,Ɉ,-1.25,WW,0.625,326.0
ɣ̞ɣ̞,,True,True,False,False,True,K,-3.0,WW,0.625,327.0
β̞,91.0,True,True,False,False,False,B,3.0,W,0.5,328.0
ʋ,96.0,True,True,False,False,False,B,2.5,W,0.5,329.0
ð̞,92.0,True,True,False,False,False,D,1.75,W,0.5,330.0
ɹ,93.0,True,True,False,False,False,D,0.75,W,0.5,331.0
ɥ̊,,True,False,False,False,False,BɈ,0.5,W,0.5,332.0
ɹ̠,,True,True,False,False,False,Ɉ,-0.5,W,0.5,333.0
ɻ,94.0,True,True,False,False,False,Ɉ,-1.25,W,0.5,334.0
ɣ̞,95.0,True,True,False,False,False,K,-3.0,W,0.5,335.0
ʁ̞,,True,True,False,False,False,Q,-4.0,W,0.5,336.0
ʕ̞,,True,True,False,False,False,H,-5.0,W,0.5,337.0
ʔ̞,,True,True,False,False,False,H,-6.0,W,0.5,338.0
