key,IPA,Consonantal?,Voiced?,Sibilant?,Lateral?,Geminate?,"Place of
articulation","Place
value","Manner of
articulation","Consonantality
value",,,,,,
104,t͡s̠,+,−,+,−,−,D,0.5,P͡F,3,,,,,,
105,d͡z̠,+,+,+,−,−,D,0.5,P͡F,3,,,,,,
106,t͡ɕ,+,−,+,−,−,Ɉ,0,P͡F,3,,,,,,
107,d͡ʑ,+,+,+,−,−,Ɉ,0,P͡F,3,,,,,,
108,t̠͡ʃ,+,−,+,−,−,Ɉ,-0.5,P͡F,3,,,,,,
109,d̠͡ʒ,+,+,+,−,−,Ɉ,-0.5,P͡F,3,,,,,,
110,t̠͡ɹ̠̊˔,+,−,−,−,−,Ɉ,-0.5,P͡F,3,,,,,,
111,d̠͡ɹ̠˔,+,+,−,−,−,Ɉ,-0.5,P͡F,3,,,,,,
112,ʈ͡ʂ,+,−,+,−,−,Ɉ,-1.25,P͡F,3,,,,,,
113,ɖ͡ʐ,+,+,+,−,−,Ɉ,-1.25,P͡F,3,,,,,,
114,c͡ç,+,−,−,−,−,Ɉ,-2,P͡F,3,,,,,,
115,ɟ͡ʝ,+,+,−,−,−,Ɉ,-2,P͡F,3,,,,,,
116,k͡x,+,−,−,−,−,K,-3,P͡F,3,,,,,,
117,ɡ͡ɣ,+,+,−,−,−,K,-3,P͡F,3,,,,,,
118,q͡χ,+,−,−,−,−,Q,-4,P͡F,3,,,,,,
119,ɢ͡ʁ,+,+,−,−,−,Q,-4,P͡F,3,,,,,,
120,ʡ͡ʜ,+,−,−,−,−,H,-5,P͡F,3,,,,,,
121,ʡ͡ʢ,+,+,−,−,−,H,-5,P͡F,3,,,,,,
122,ʔ͡h,+,−,−,−,−,H,-6,P͡F,3,,,,,,
123,t͡ɬ,+,−,−,+,−,D,0.5,P͡F,3,,,,,,
124,d͡ɮ,+,+,−,+,−,D,0.5,P͡F,3,,,,,,
125,ʈ͡ꞎ,+,−,−,+,−,Ɉ,-1.25,P͡F,3,,,,,,
126,ɖ͡𝼅,+,+,−,+,−,Ɉ,-1.25,P͡F,3,,,,,,
127,c͡𝼆,+,−,−,+,−,Ɉ,-2,P͡F,3,,,,,,
128,ɟ͡ʎ̝,+,+,−,+,−,Ɉ,-2,P͡F,3,,,,,,
129,k͡𝼄,+,−,−,+,−,K,-3,P͡F,3,,,,,,
130,ɡ͡ʟ̝,+,+,−,+,−,K,-3,P͡F,3,,,,,,
131,ɸɸ,+,−,−,−,+,B,3,FF,2.5,,,,,,
132,ββ,+,+,−,−,+,B,3,FF,2.5,,,,,,
133,ff,+,−,−,−,+,B,2.5,FF,2.5,,,,,,
134,vv,+,+,−,−,+,B,2.5,FF,2.5,,,,,,
135,θθ,+,−,−,−,+,D,2,FF,2.5,,,,,,
136,ðð,+,+,−,−,+,D,2,FF,2.5,,,,,,
137,s̟s̟,+,−,+,−,+,D,1.666666667,FF,2.5,,,,,,
138,z̟z̟,+,+,+,−,+,D,1.666666667,FF,2.5,,,,,,
139,s̪s̪,+,−,+,−,+,D,1.333333333,FF,2.5,,,,,,
140,z̪z̪,+,+,+,−,+,D,1.333333333,FF,2.5,,,,,,
141,ss,+,−,+,−,+,D,1,FF,2.5,,,,,,
142,zz,+,+,+,−,+,D,1,FF,2.5,,,,,,
143,θ̠θ̠,+,−,−,−,+,D,1,FF,2.5,,,,,,
144,ð̠ð̠,+,+,−,−,+,D,1,FF,2.5,,,,,,
145,s̠s̠,+,−,+,−,+,D,0.5,FF,2.5,,,,,,
146,z̠z̠,+,+,+,−,+,D,0.5,FF,2.5,,,,,,
147,ɕɕ,+,−,+,−,+,Ɉ,0,FF,2.5,,,,,,
148,ʑʑ,+,+,+,−,+,Ɉ,0,FF,2.5,,,,,,
149,ʃʃ,+,−,+,−,+,Ɉ,-0.5,FF,2.5,,,,,,
150,ʒʒ,+,+,+,−,+,Ɉ,-0.5,FF,2.5,,,,,,
151,ɹ̠̊˔ɹ̠̊˔,+,−,−,−,+,Ɉ,-0.5,FF,2.5,,,,,,
152,ɹ̠˔ɹ̠˔,+,+,−,−,+,Ɉ,-0.5,FF,2.5,,,,,,
153,ʂʂ,+,−,+,−,+,Ɉ,-1.25,FF,2.5,,,,,,
154,ʐʐ,+,+,+,−,+,Ɉ,-1.25,FF,2.5,,,,,,
155,çç,+,−,−,−,+,Ɉ,-2,FF,2.5,,,,,,
156,ʝʝ,+,+,−,−,+,Ɉ,-2,FF,2.5,,,,,,
157,xx,+,−,−,−,+,K,-3,FF,2.5,,,,,,
158,ɣɣ,+,+,−,−,+,K,-3,FF,2.5,,,,,,
159,χχ,+,−,−,−,+,Q,-4,FF,2.5,,,,,,
160,ʁʁ,+,+,−,−,+,Q,-4,FF,2.5,,,,,,
161,ħħ,+,−,−,−,+,H,-5,FF,2.5,,,,,,
162,ʕʕ,+,−,−,−,+,H,-5,FF,2.5,,,,,,
163,hh,+,−,−,−,+,H,-6,FF,2.5,,,,,,
164,ɦɦ,+,+,−,−,+,H,-6,FF,2.5,,,,,,
165,ɬɬ,+,−,−,+,+,D,0.5,FF,2.5,,,,,,
166,ɮɮ,+,+,−,+,+,D,0.5,FF,2.5,,,,,,
167,ꞎꞎ,+,−,−,+,+,Ɉ,-1.25,FF,2.5,,,,,,
168,𝼅𝼅,+,+,−,+,+,Ɉ,-1.25,FF,2.5,,,,,,
169,𝼆𝼆,+,−,−,+,+,Ɉ,-2,FF,2.5,,,,,,
170,ʎ̝ʎ̝,+,+,−,+,+,Ɉ,-2,FF,2.5,,,,,,
171,𝼄𝼄,+,−,−,+,+,K,-3,FF,2.5,,,,,,
172,ʟ̝ʟ̝,+,+,−,+,+,K,-3,FF,2.5,,,,,,
173,ɸ,+,−,−,−,−,B,3,F,2,,,,,,
174,β,+,+,−,−,−,B,3,F,2,,,,,,
175,f,+,−,−,−,−,B,2.5,F,2,,,,,,
176,v,+,+,−,−,−,B,2.5,F,2,,,,,,
177,θ,+,−,−,−,−,D,2,F,2,,,,,,
178,ð,+,+,−,−,−,D,2,F,2,,,,,,
179,s̟,+,−,+,−,−,D,1.666666667,F,2,,,,,,
180,z̟,+,+,+,−,−,D,1.666666667,F,2,,,,,,
181,s̪,+,−,+,−,−,D,1.333333333,F,2,,,,,,
182,z̪,+,+,+,−,−,D,1.333333333,F,2,,,,,,
183,s,+,−,+,−,−,D,1,F,2,,,,,,
184,z,+,+,+,−,−,D,1,F,2,,,,,,
185,θ̠,+,−,−,−,−,D,1,F,2,,,,,,
186,ð̠,+,+,−,−,−,D,1,F,2,,,,,,
187,s̠,+,−,+,−,−,D,0.5,F,2,,,,,,
188,z̠,+,+,+,−,−,D,0.5,F,2,,,,,,
189,ɕ,+,−,+,−,−,Ɉ,0,F,2,,,,,,
190,ʑ,+,+,+,−,−,Ɉ,0,F,2,,,,,,
191,ʃ,+,−,+,−,−,Ɉ,-0.5,F,2,,,,,,
192,ʒ,+,+,+,−,−,Ɉ,-0.5,F,2,,,,,,
193,ɹ̠̊˔,+,−,−,−,−,Ɉ,-0.5,F,2,,,,,,
194,ɹ̠˔,+,+,−,−,−,Ɉ,-0.5,F,2,,,,,,
195,ʂ,+,−,+,−,−,Ɉ,-1.25,F,2,,,,,,
196,ʐ,+,+,+,−,−,Ɉ,-1.25,F,2,,,,,,
197,ç,+,−,−,−,−,Ɉ,-2,F,2,,,,,,
198,ʝ,+,+,−,−,−,Ɉ,-2,F,2,,,,,,
199,x,+,−,−,−,−,K,-3,F,2,,,,,,
200,ɣ,+,+,−,−,−,K,-3,F,2,,,,,,
201,χ,+,−,−,−,−,Q,-4,F,2,,,,,,
202,ʁ,+,+,−,−,−,Q,-4,F,2,,,,,,
203,ħ,+,−,−,−,−,H,-5,F,2,,,,,,
204,ʕ,+,−,−,−,−,H,-5,F,2,,,,,,
205,h,+,−,−,−,−,H,-6,F,2,,,,,,
206,ɦ,+,+,−,−,−,H,-6,F,2,,,,,,
207,ʍ,+,−,−,−,−,BK,0,F,2,,,,,,
208,ɬ,+,−,−,+,−,D,0.5,F,2,,,,,,
209,ɮ,+,+,−,+,−,D,0.5,F,2,,,,,,
210,ꞎ,+,−,−,+,−,Ɉ,-1.25,F,2,,,,,,
211,𝼅,+,+,−,+,−,Ɉ,-1.25,F,2,,,,,,
212,𝼆,+,−,−,+,−,Ɉ,-2,F,2,,,,,,
213,ʎ̝,+,+,−,+,−,Ɉ,-2,F,2,,,,,,
214,𝼄,+,−,−,+,−,K,-3,F,2,,,,,,
215,ʟ̝,+,+,−,+,−,K,-3,F,2,,,,,,
216,ʙ̥ː,+,−,−,−,+,B,3,RRR,1.875,,,,,,
217,ʙː,+,+,−,−,+,B,3,RRR,1.875,,,,,,
218,r̪̥ː,+,−,−,−,+,D,1.666666667,RRR,1.875,,,,,,
219,r̪ː,+,+,−,−,+,D,1.666666667,RRR,1.875,,,,,,
220,r̥ː,+,−,−,−,+,D,0.75,RRR,1.875,,,,,,
221,rː,+,+,−,−,+,D,0.75,RRR,1.875,,,,,,
222,r̠̥ː,+,−,−,−,+,Ɉ,-0.5,RRR,1.875,,,,,,
223,r̠ː,+,+,−,−,+,Ɉ,-0.5,RRR,1.875,,,,,,
224,ɽ̥͡r̥ː,+,−,−,−,+,Ɉ,-1.25,RRR,1.875,,,,,,
225,ɽ͡rː,+,+,−,−,+,Ɉ,-1.25,RRR,1.875,,,,,,
