,IPA_key,IPA,consonantal,voice,sibilant,lateral,place_articulation,place_value,articulation_manner,sonority_value
3065,258,tt͡s (ʒ),+,− (+),+,−,D (Ɉ),0.5,PP͡F (F),3.1666666666666665
94,26,t͡s̪,+,−,+,−,D,1.3333333333333333,P͡F,3.0
3377,260,w~β,+,+,−,−,BK~B,1.5,W~F,1.1666666666666667
635,261,v (b),+,+,−,−,B,2.625,F,2.5
1340,262,v (β),+,+,−,−,B,2.625,F,2.0
3449,263,ʃ~d̠͡ʒ,+,+/−,+,−,Ɉ,-0.5,F~P͡F,2.5
3495,264,j̃,+,+,−,−,Ɉ,-2.0,NW,0.9166666666666666
1674,265,ȵ~ɲ,+,+,−,−,Ɉ,-1.0,N,1.5
1672,266,n̪ʲ~ȵ,+,+,−,−,DɈ~Ɉ,0.75,N,1.5
3510,267,n̪ʲː~ȵȵ,+,+,−,−,DɈ~Ɉ,0.75,NN,1.875
1547,268,bb (b),+,+,−,−,B,3.0,PP (P),4.666666666666667
1626,269,s̠ (d͡z̠),+,−/+,+,−,D,0.5,F (P͡F),2.25
165,27,d͡z̪,+,+,+,−,D,1.3333333333333333,P͡F,3.0
1740,270,ʃ~s̪,+,−,+,−,Ɉ~D,0.4166666666666666,F,2.0
1714,271,ɕ~ʃ,+,−,+,−,Ɉ,-0.25,F,2.0
17,273,b (v),+,+,−,−,B,2.833333333333333,P (F),3.333333333333333
220,274,s (t͡s),+,−,+,−,D,1.0,F (P͡F),2.333333333333333
1568,28,t͡s,+,−,+,−,D,1.0,P͡F,3.0
96,34,t̠͡ʃ,+,−,+,−,Ɉ,-0.5,P͡F,3.0
167,35,d̠͡ʒ,+,+,+,−,Ɉ,-0.5,P͡F,3.0
338,39,ɟ͡ʝ,+,+,−,−,Ɉ,-2.0,P͡F,3.0
999,41,β,+,+,−,−,B,3.0,F,2.0
556,42,f,+,−,−,−,B,2.5,F,2.0
22,43,v,+,+,−,−,B,2.5,F,2.0
233,44,θ,+,−,−,−,D,2.0,F,2.0
1033,45,ð,+,+,−,−,D,2.0,F,2.0
235,46,s̟,+,−,+,−,D,1.6666666666666667,F,2.0
216,48,s̪,+,−,+,−,D,1.3333333333333333,F,2.0
166,49,z̪,+,+,+,−,D,1.3333333333333333,F,2.0
66,5,t̪,+,−,−,−,D,1.6666666666666667,P,4.0
208,50,s,+,−,+,−,D,1.0,F,2.0
1129,51,z,+,+,+,−,D,1.0,F,2.0
211,52,s̠,+,−,+,−,D,0.5,F,2.0
1351,53,z̠,+,+,+,−,D,0.5,F,2.0
245,56,ʃ,+,−,+,−,Ɉ,-0.5,F,2.0
337,57,ʒ,+,+,+,−,Ɉ,-0.5,F,2.0
137,6,d̪,+,+,−,−,D,1.6666666666666667,P,4.0
1227,61,ʝ,+,+,−,−,Ɉ,-2.0,F,2.0
939,63,x,+,−,−,−,K,-3.0,F,2.0
1118,64,ɣ,+,+,−,−,K,-3.0,F,2.0
917,68,h,+,+,−,−,H,-6.0,F,2.0
523,70,m,+,+,−,−,B,3.0,N,1.5
465,72,n̪,+,+,−,−,D,1.67,N,1.5
1411,73,n,+,+,−,−,D,1.67,N,1.5
457,73,n,+,+,−,−,D,0.75,N,1.5
3506,74,ȵ,+,+,−,−,Ɉ,0.0,N,1.5
3491,76,ɲ,+,+,−,−,Ɉ,-2.0,N,1.5
817,79,r,+,+,−,−,D,0.75,L,1.25
2172,80,ɽ,+,+,−,−,Ɉ,-1.25,L,1.0
826,81,ʀ,+,+,−,−,Q,-4.0,L,1.25
1443,82,ɾ̪,+,+,−,−,D,1.6666666666666667,L,0.875
842,82,ɾ̪,+,+,−,−,D,1.6666666666666667,L,1.0
1388,83,ɾ,+,+,−,−,D,0.75,L,1.0
849,85,l,+,+,−,+,D,0.75,LW,0.75
852,86,ȴ [ʎ̟],+,+,−,+,Ɉ,0.0,LW,0.75
851,87,ɫ̪,+,+,−,+,DQ,-1.1666666666666667,LW,0.75
1421,89,ɫ,+,+,−,+,DQ,-1.625,LW,0.75
1924,90,ʎ,+,+,−,+,Ɉ,-2.0,L,0.75
993,91,β̞,+,+,−,−,B,3.0,W,0.5
1030,92,ð̞,+,+,−,−,D,1.8333333333333333,W,0.5
1112,95,ɣ̞,+,+,−,−,K,-3.0,W,0.5
624,97,w,+,+,−,−,BK,0.0,W,0.3333333333333333
2091,98,j,+,+,−,−,Ɉ,-2.0,W,0.5
356,98,j,+,+,−,−,Ɉ,-2.0,W,0.3333333333333333
1063,∅,∅,−,−,−,−,D,1.8333333333333333,∅,0.0
1462,∅,∅,−,+,−,−,Ɉ,-2.0,∅,0.0
1081,∅,∅,−,+,−,−,D,1.8333333333333333,∅,0.0
1313,∅,∅,−,+,−,−,D,0.75,∅,0.0
285,,k,,,,,,,,
367,,∅,−,−,−,−,Ɉ,-0.5,∅,0.0
590,,∅,−,−,−,−,H,-6.0,∅,0.0
943,,∅,−,+,−,−,Ɉ,-2.0,∅,0.0
1034,,∅,−,−,−,−,D,1.8333333333333333,∅,0.0
1084,,∅,−,−,−,−,D,1.1666666666666663,∅,0.0
1119,,∅,−,−,−,−,K,-3.0,∅,0.0
1158,,∅,−,−,−,−,K~Ɉ,-2.5,∅,0.0
1171,,∅,−,+,−,−,K,-3.0,∅,0.0
1417,,∅,−,−,−,−,D,0.75,∅,0.0
1452,,∅,−,−,−,−,Ɉ,-2.0,∅,0.0
1808,,∅,−,−,−,−,,,∅,0.0
2037,,∅,−,−,−,−,B,3.0,∅,0.0
2388,,∅,−,−,−,−,BK,0.0,∅,0.0
2820,,∅,−,−,−,−,B,2.5,∅,0.0
2954,,j,,,,,,,,
3521,,∅,−,−,−,−,Ɉ,-1.0,∅,0.0
