,IPA_key,IPA,consonantal,voice,voice,sibilant,lateral,place_articulation,place_value,articulation_manner,consonantality_value
1077,174.0,ʝ~∅,+/−,+/−,127.5,−,−,Ɉ,-2.0,W~∅,-1.0
1096,175.0,ð̞~∅,+/−,+/−,127.5,−,−,D,1.8333333333333333,W~∅,0.25
421,176.0,ɡ (ħ),+,+ (−),85.0,−,−,K (H),-3.6666666666666665,P (F),3.333333333333333
1124,177.0,ɣ̞ (ħ),+,+ (−),85.0,−,−,K (H),-3.6666666666666665,W (F),1.0
3063,180.0,tt͡s,+,−,255.0,+,−,D,1.0,PP͡F,3.75
3174,181.0,dd͡z,+,+,0.0,+,−,D,1.0,PP͡F,3.75
1243,183.0,dd͡z̠,+,+,0.0,+,−,Ɉ,1.0,PP͡F,3.75
1632,186.0,t̠t̠͡ʃ,+,−,255.0,+,−,Ɉ,-0.5,PP͡F,3.75
1240,187.0,d̠d̠͡ʒ,+,+,0.0,+,−,Ɉ,-0.5,PP͡F,3.75
1241,190.0,dd͡z~d̠d̠͡ʒ,+,+,0.0,+,−,D~Ɉ,0.25,PP͡F,3.75
1284,191.0,◌̃,−,+,0.0,−,−,D,0.75,N~∅,0.75
1319,192.0,β̞~∅,+/−,+,0.0,−,−,B,3.0,W~∅,0.25
1466,193.0,ʝ~ʃ,+,+/−,127.5,−/+,−,Ɉ,-1.25,F,2.0
343,194.0,̠d̠͡ʒ (d͡z̠),+,+,0.0,+,−,Ɉ (D),-0.1666666666666666,P͡F,3.0
1519,195.0,pp,+,−,255.0,−,−,B,3.0,PP,5.0
1540,196.0,bb,+,+,0.0,−,−,B,3.0,PP,5.0
1556,197.0,t̪t̪,+,−,255.0,−,−,D,1.6666666666666667,PP,5.0
1576,198.0,d̪d̪,+,+,0.0,−,−,D,1.6666666666666667,PP,5.0
1797,201.0,ɖɖ,+,+,0.0,−,−,Ɉ,-1.25,PP,5.0
1590,206.0,kk,+,−,255.0,−,−,K,-3.0,PP,5.0
1694,208.0,ff,+,−,255.0,−,−,B,2.5,FF,2.5
1738,216.0,ss,+,−,255.0,+,−,D,1.0,FF,2.5
1713,218.0,s̠s̠,+,−,255.0,+,−,D,0.5,FF,2.5
1720,222.0,ʃʃ,+,−,255.0,+,−,Ɉ,-0.5,FF,2.5
1654,229.0,mm,+,+,0.0,−,−,B,3.0,NN,1.875
1673,232.0,nn,+,+,0.0,−,−,D,0.75,NN,1.875
874,240.0,l (ɰ),+,+,0.0,−,+ (−),D (K),-0.5,LW (W),0.611111111111111
1800,241.0,ll (ȴȴ),+,+,0.0,−,+,D (Ɉ),0.5,LLWW,0.9375
1799,243.0,ll,+,+,0.0,−,+,D,0.75,LLWW,0.9375
3569,244.0,ȴȴ [ʎ̟ʎ̟],+,+,0.0,−,+,Ɉ,0.0,LLWW,0.9375
1789,249.0,ll~ɭɭ,+,+,0.0,−,+,D~Ɉ,-0.25,LLWW,0.9375
1453,251.0,jj,+,+,0.0,−,−,Ɉ,-2.0,WW,0.4166666666666666
1805,252.0,ʎ~ʝ,+,+,0.0,−,+/−,Ɉ,-2.0,LW~F,1.375
1359,253.0,z~s,+,+/−,127.5,+,−,D,1.0,F,2.0
2979,254.0,β~ʒ,+,+,0.0,−/+,−,B~Ɉ,1.25,F (W),1.625
3019,255.0,β~d̠͡ʒ,+,+,0.0,−/+,−,B~Ɉ,1.25,F~P͡F,2.625
2960,256.0,β~ʒ,+,+,0.0,−/+,−,B~Ɉ,1.25,F (P),2.5
3038,257.0,∅ (z̠),− (+),− (+),170.0,− (+),−,D,0.5,∅ (F),0.6666666666666666
3065,258.0,tt͡s (ʒ),+,− (+),170.0,+,−,D (Ɉ),0.5,PP͡F (F),3.1666666666666665
3377,260.0,w~β,+,+,0.0,−,−,BK~B,1.5,W~F,1.1666666666666667
635,261.0,v (b),+,+,0.0,−,−,B,2.625,F,2.5
1340,262.0,v (β),+,+,0.0,−,−,B,2.625,F,2.0
3449,263.0,ʃ~d̠͡ʒ,+,+/−,127.5,+,−,Ɉ,-0.5,F~P͡F,2.5
3495,264.0,j̃,+,+,0.0,−,−,Ɉ,-2.0,NW,0.9166666666666666
1674,265.0,ȵ~ɲ,+,+,0.0,−,−,Ɉ,-1.0,N,1.5
1672,266.0,n̪ʲ~ȵ,+,+,0.0,−,−,DɈ~Ɉ,0.75,N,1.5
3510,267.0,n̪ʲː~ȵȵ,+,+,0.0,−,−,DɈ~Ɉ,0.75,NN,1.875
1547,268.0,bb (b),+,+,0.0,−,−,B,3.0,PP (P),4.666666666666667
1626,269.0,s̠ (d͡z̠),+,−/+,127.5,+,−,D,0.5,F (P͡F),2.25
1740,270.0,ʃ~s̪,+,−,255.0,+,−,Ɉ~D,0.4166666666666666,F,2.0
1714,271.0,ɕ~ʃ,+,−,255.0,+,−,Ɉ,-0.25,F,2.0
17,273.0,b (v),+,+,0.0,−,−,B,2.833333333333333,P (F),3.333333333333333
220,274.0,s (t͡s),+,−,255.0,+,−,D,1.0,F (P͡F),2.333333333333333
