old key,IPA,new key
118,s (s̠),
119,z (z̠),
120,s (s̪),
121,z (z̪),
122,s̠ (s),
123,ʁ (r),
124,x~h,
125,rː,221
126,r̠ː,223
127,r (ʀ),
128,ʐː~rː,
129,ȴ[ʎ̟] (ʈ͡ʂ),
130,l (ȴ [ʎ̟]),
131,l~ɰ,
132,r (ʁ),
133,l (ȴ~j),
134,w~∅,
135,ɡ~w,
136,ɡ~∅,
137,w~v,
138,v~∅,
139,l̪ʲ,305
140,ʟ,317
141,r̠,247
142,ʁ (ʀ),
143,ɾ (ʀ),
144,ɽ~∅,
145,t̪~ʈ,
146,ɾ~ɽ,
147,d̪~ɖ,
148,k~ȶ,
149,l~j,
150,k~c,
151,j~∅,
152,c~t̠͡ʃ,
153,ɟ~d̠͡ʒ,
154,ɡ~ɟ,
155,ȴ[ʎ̟]~j,
156,ɟ~∅,
157,f~ç,
158,ç~ʃ,
159,s (ʃ),
160,s~ʃ,
161,s̠~s,
162,s̪~ʃ~h,
163,ʃ~k~h,
164,b~β̞,
165,b~β,
166,β~β̞,
167,v~β̞,
168,d~ð̞,
169,d~ð,
170,ð~ð̞,
171,ɡ~ɣ̞,
172,ɡ~ɣ,
173,ɣ~ɣ̞,
174,ʝ~∅,
175,ð̞~∅,
176,ɡ (ħ),
177,ɣ̞ (ħ),
178,tt͡s̪,57
179,dd͡z̪,58
180,tt͡s,59
181,dd͡z,60
182,tt͡s̠,63
183,dd͡z̠,64
184,tt͡ɕ,65
185,dd͡ʑ,66
186,t̠t̠͡ʃ,67
187,d̠d̠͡ʒ,68
188,ʈʈ͡ʂ,71
189,ɖɖ͡ʐ,72
190,dd͡z~d̠d̠͡ʒ,
191,◌̃,
192,β̞~∅,
193,ʝ~ʃ,
194,̠d̠͡ʒ (d͡z̠),
195,pp,1
196,bb,2
197,t̪t̪,5
198,d̪d̪,6
199,tt,7
200,dd,8
201,ɖɖ,14
202,kkʷ,15
203,gɡʷ,16
204,cc,17
205,ɟɟ,18
206,kk,19
207,gg,20
208,ff,133
209,vv,134
210,θθ,135
211,ðð,136
212,s̟s̟,137
213,z̟z̟,138
214,s̪s̪,139
215,z̪z̪,140
216,ss,141
217,zz,142
218,s̠s̠,145
219,z̠z̠,146
220,ɕɕ,147
221,ʑʑ,148
222,ʃʃ,149
223,ʒʒ,150
224,ʂʂ,153
225,ʐʐ,154
226,çç,155
227,ʝʝ,156
228,ʎ̝ʎ̝,170
229,mm,230
230,ɱɱ,231
231,n̪n̪,232
232,nn,233
233,ȵȵ,234
234,n̠n̠,235
235,ɲɲ,237
236,r̪r̪,219
237,rr,221
238,ɽr,225
239,ʀʀ,227
240,l (ɰ),
241,ll (ȴȴ),
242,l̪l̪,283
243,ll,285
244,ȴȴ [ʎ̟ʎ̟],286
245,ɫ̪ɫ̪,290
246,ɭɭ,292
247,ɫɫ,294
248,ʎʎ,296
249,ll~ɭɭ,
250,ww,340
251,jj,342
252,ʎ~ʝ,
253,z~s,
254,β~ʒ,
255,β~d̠͡ʒ,
256,β~ʒ,
257,∅ (z̠),
258,tt͡s (ʒ),
259,t͡s̪ (t̠͡ʃ),
260,w~β,
261,v (b),
262,v (β),
263,ʃ~d̠͡ʒ,
264,j̃,349
265,ȵ~ɲ,
266,n̪ʲ~ȵ,
267,n̪ʲː~ȵȵ,
268,bb (b),
269,s̠ (d͡z̠),
270,ʃ~s̪,
271,ɕ~ʃ,
272,t͡ɕ~t̠͡ʃ,
273,b (v),
274,s (t͡s),
,,
,,
,,
,,
