,treatment,environment,Languages,Consonantal +/−,Grapheme,IPA,IPA key,Lateral +/−,Manner of articulation,Place of articulation,Place value,Sibilant +/−,Sonority value,Voice +/−,version
10,T-,"#_{a,O}",WAL,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
11,T-,"#_{a,O}",ARP,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
12,T-,"#_{a,O}",LIG,,,,,,,,,,,,1.0
13,T-,"#_{a,O}",EU POR,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
14,T-,"#_{a,O}",LMO,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
15,T-,"#_{a,O}",RMH,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
16,T-,"#_{a,O}",FUR,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
17,T-,"#_{a,O}",LOG SRD,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
18,T-,"#_{a,O}",CPN SRD,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
19,T-,"#_{a,O}",COR,,,,,,,,,,,,1.0
20,T-,"#_{a,O}",ITA,+,t,t̪,,−,P,D,1.6666666666666667,−,4,−,1.0
21,T-,"#_{a,O}",ABR,,,,,,,,,,,,1.0
22,T-,"#_{a,O}",CAM,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
23,T-,"#_{a,O}",PGL,,,,,,,,,,,,1.0
24,T-,"#_{a,O}",SCN,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
25,T-,"#_{a,O}",VEN,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
26,T-,"#_{a,O}",ARO,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
27,T-,"#_{a,O}",ROM,+,t,t̪,,−,P,D,1.6666666666666667,−,4,−,1.0
29,T-,"#_{a,O}",QBC FRA,+,t,t͡s̪,26,−,P͡F,D,1.3333333333333333,+,3,−,2.0
30,T-,"#_{a,O}",GAL,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
31,T-,"#_{a,O}",ASL,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
32,T-,"#_{a,O}",CAS ESP,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
33,T-,"#_{a,O}",AND ESP,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
34,T-,"#_{a,O}",ARG,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
0,D-,#_E,BR POR,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
1,D-,#_E,AMR ESP,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
2,D-,#_E,LAT,+,D,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
3,D-,#_E,CAT,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
4,D-,#_E,VAL,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
5,D-,#_E,BAL,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
6,D-,#_E,OCC,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
7,D-,#_E,GAS OCC,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
8,D-,#_E,EU FRA,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
9,D-,#_E,QBC FRA,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
10,D-,#_E,WAL,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
11,D-,#_E,ARP,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
12,D-,#_E,LIG,,,,,,,,,,,,1.0
13,D-,#_E,EU POR,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
14,D-,#_E,LMO,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
15,D-,#_E,RMH,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
16,D-,#_E,FUR,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
17,D-,#_E,LOG SRD,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
18,D-,#_E,CPN SRD,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
19,D-,#_E,COR,,,,,,,,,,,,1.0
20,D-,#_E,ITA,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
21,D-,#_E,ABR,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
22,D-,#_E,CAM,+,d,d̪~ɾ,101,−,P~L,D,1.2083333333333335,−,2.4375,+,1.0
23,D-,#_E,PGL,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
24,D-,#_E,SCN,+,d,d̪~ɾ,101,−,P~L,D,1.2083333333333335,−,2.4375,+,1.0
25,D-,#_E,VEN,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
26,D-,#_E,ARO,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
27,D-,#_E,ROM,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
29,D-,#_E,ARO,+,dz,d͡z̪,27,−,P͡F,D,1.3333333333333333,+,3,+,2.0
30,D-,#_E,ROM,+,z,z̪,49,−,F,D,1.3333333333333333,+,2,+,2.0
32,D-,#_E,BR POR,+,d,d̠͡ʒ,35,−,P͡F,Ɉ,-0.5,+,3,+,2.0
34,D-,#_E,GAL,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
37,D-,#_E,QBC FRA,+,d,d͡z̪,27,−,P͡F,D,1.3333333333333333,+,3,+,2.0
38,D-,#_E,ASL,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
39,D-,#_E,CAS ESP,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
40,D-,#_E,AND ESP,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
41,D-,#_E,ARG,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
