,treatment,environment,position,Languages,Consonantal +/−,Grapheme,IPA,IPA key,Lateral +/−,Manner of articulation,Place of articulation,Place value,Sibilant +/−,Sonority value,Voice +/−,version
11,D-,#_E,1,ARP,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
12,D-,#_E,1,LIG,,,,,,,,,,,,1.0
13,D-,#_E,1,EU POR,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
14,D-,#_E,1,LMO,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
15,D-,#_E,1,RMH,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
16,D-,#_E,1,FUR,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
17,D-,#_E,1,LOG SRD,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
18,D-,#_E,1,CPN SRD,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
19,D-,#_E,1,COR,,,,,,,,,,,,1.0
20,D-,#_E,1,ITA,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
21,D-,#_E,1,ABR,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
22,D-,#_E,1,CAM,+,d,d̪~ɾ,101,−,P~L,D,1.2083333333333335,−,2.4375,+,1.0
23,D-,#_E,1,PGL,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
24,D-,#_E,1,SCN,+,d,d̪~ɾ,101,−,P~L,D,1.2083333333333335,−,2.4375,+,1.0
25,D-,#_E,1,VEN,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
26,D-,#_E,1,ARO,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
27,D-,#_E,1,ROM,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
29,D-,#_E,1,ARO,+,dz,d͡z̪,27,−,P͡F,D,1.3333333333333333,+,3,+,2.0
30,D-,#_E,1,ROM,+,z,z̪,49,−,F,D,1.3333333333333333,+,2,+,2.0
32,D-,#_E,1,BR POR,+,d,d̠͡ʒ,35,−,P͡F,Ɉ,-0.5,+,3,+,2.0
34,D-,#_E,1,GAL,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
37,D-,#_E,1,QBC FRA,+,d,d͡z̪,27,−,P͡F,D,1.3333333333333333,+,3,+,2.0
38,D-,#_E,1,ASL,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
39,D-,#_E,1,CAS ESP,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
40,D-,#_E,1,AND ESP,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
41,D-,#_E,1,ARG,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
0,D-,"#_{a,O}",1,BR POR,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
1,D-,"#_{a,O}",1,AMR ESP,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
2,D-,"#_{a,O}",1,LAT,+,D,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
3,D-,"#_{a,O}",1,CAT,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
4,D-,"#_{a,O}",1,VAL,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
